20250510_172525,2025-05-10 17:25:36,1,Sword (+10 ATK),20
20250510_172525,2025-05-10 17:25:52,3,Potion (+25 HP),15
20250510_172525,2025-05-10 17:25:54,3,Potion (+25 HP),15
20250510_172525,2025-05-10 17:26:00,3,Potion (+25 HP),15
20250510_172525,2025-05-10 17:26:02,3,Sword (+10 ATK),20
20250510_172525,2025-05-10 17:26:13,4,Sword (+10 ATK),20
20250510_172838,2025-05-10 17:29:00,3,Potion (+25 HP),15
20250510_172838,2025-05-10 17:29:01,3,Potion (+25 HP),15
20250510_172838,2025-05-10 17:29:01,3,Potion (+25 HP),15
20250510_172838,2025-05-10 17:29:03,3,Potion (+25 HP),15
20250510_172838,2025-05-10 17:29:04,3,Sword (+10 ATK),20
20250511_170900,2025-05-11 17:09:10,1,Sword (+10 ATK),20
20250511_170900,2025-05-11 17:09:26,2,Sword (+10 ATK),20
20250511_170900,2025-05-11 17:09:27,2,Potion (+25 HP),15
20250511_170900,2025-05-11 17:09:40,3,Potion (+25 HP),15
20250511_170900,2025-05-11 17:09:41,3,Potion (+25 HP),15
20250511_170900,2025-05-11 17:09:56,4,Sword (+10 ATK),20
20250511_170900,2025-05-11 17:09:57,4,Potion (+25 HP),15
20250511_195519,2025-05-11 19:55:42,2,Wand (+10 Magic),20
20250511_195519,2025-05-11 19:55:44,2,Potion (+25 HP),15
20250511_195519,2025-05-11 19:55:46,2,Sword (+10 ATK),20
20250511_195519,2025-05-11 19:56:04,3,Potion (+25 HP),15
20250511_195519,2025-05-11 19:56:05,3,Potion (+25 HP),15
20250511_195519,2025-05-11 19:56:20,4,Potion (+25 HP),15
20250511_195519,2025-05-11 19:56:20,4,Potion (+25 HP),15
20250511_202510,2025-05-11 20:25:22,1,Wand (+10 Magic),20
20250511_202510,2025-05-11 20:26:11,3,Wand (+10 Magic),20
20250511_202510,2025-05-11 20:26:12,3,Potion (+25 HP),15
20250511_202510,2025-05-11 20:26:14,3,Wand (+10 Magic),20
20250511_202510,2025-05-11 20:26:50,5,Wand (+10 Magic),20
20250511_202510,2025-05-11 20:26:51,5,Wand (+10 Magic),20
20250511_202510,2025-05-11 20:26:54,5,Wand (+10 Magic),20
20250511_202510,2025-05-11 20:26:54,5,Potion (+25 HP),15
20250511_202754,2025-05-11 20:28:06,1,Wand (+10 Magic),20
20250511_202754,2025-05-11 20:28:24,2,Wand (+10 Magic),20
20250511_202754,2025-05-11 20:28:25,2,Wand (+10 Magic),20
20250511_202754,2025-05-11 20:28:39,3,Potion (+25 HP),15
20250511_202754,2025-05-11 20:28:45,3,Potion (+25 HP),15
20250511_202754,2025-05-11 20:29:00,4,Potion (+25 HP),15
20250511_202754,2025-05-11 20:29:00,4,Potion (+25 HP),15
20250511_202754,2025-05-11 20:29:30,6,Potion (+25 HP),15
20250511_202754,2025-05-11 20:29:31,6,Wand (+10 Magic),20
20250511_202754,2025-05-11 20:29:32,6,Wand (+10 Magic),20
20250511_203157,2025-05-11 20:32:36,3,Potion (+25 HP),15
20250511_203157,2025-05-11 20:32:38,3,Wand (+10 Magic),20
20250511_203157,2025-05-11 20:32:38,3,Wand (+10 Magic),20
20250511_203157,2025-05-11 20:32:39,3,Wand (+10 Magic),20
20250511_203157,2025-05-11 20:32:40,3,Potion (+25 HP),15
20250511_203157,2025-05-11 20:33:41,7,Wand (+10 Magic),20
20250511_203157,2025-05-11 20:33:42,7,Wand (+10 Magic),20
20250511_203157,2025-05-11 20:33:43,7,Wand (+10 Magic),20
20250511_203157,2025-05-11 20:33:43,7,Wand (+10 Magic),20
20250511_203157,2025-05-11 20:33:45,7,Wand (+10 Magic),20
20250511_203157,2025-05-11 20:33:46,7,Wand (+10 Magic),20
20250511_203157,2025-05-11 20:34:19,9,Potion (+25 HP),15
20250511_203157,2025-05-11 20:34:23,9,Potion (+25 HP),15
20250511_203157,2025-05-11 20:34:24,9,Wand (+10 Magic),20
20250511_203157,2025-05-11 20:34:53,12,Wand (+10 Magic),20
20250511_203157,2025-05-11 20:34:53,12,Wand (+10 Magic),20
20250511_203157,2025-05-11 20:34:54,12,Wand (+10 Magic),20
20250511_203157,2025-05-11 20:34:55,12,Wand (+10 Magic),20
20250511_203157,2025-05-11 20:35:00,12,Potion (+25 HP),15
20250511_225129,2025-05-11 22:51:54,2,Wand (+10 Magic),20
20250511_225129,2025-05-11 22:51:56,2,Potion (+25 HP),15
20250511_225129,2025-05-11 22:51:58,2,Sword (+10 ATK),20
